2025-09-19 00:12:47,935 [RMI TCP Connection(35)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2025-09-19 00:12:48,069 [RMI TCP Connection(35)-127.0.0.1] INFO  o.s.b.w.embedded.tomcat.GracefulShutdown           - Commencing graceful shutdown. Waiting for active requests to complete
2025-09-19 00:12:48,081 [tomcat-shutdown] INFO  o.apache.coyote.http11.Http11NioProtocol           - Pausing ProtocolHandler ["http-nio-8080"]
2025-09-19 00:12:48,746 [tomcat-shutdown] INFO  o.s.b.w.embedded.tomcat.GracefulShutdown           - Graceful shutdown complete
2025-09-19 00:12:48,751 [RMI TCP Connection(35)-127.0.0.1] INFO  o.apache.coyote.http11.Http11NioProtocol           - Stopping ProtocolHandler ["http-nio-8080"]
2025-09-19 00:13:20,110 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils       - Could not detect default configuration classes for test class [com.ksa.LoggingProjectApplicationTests]: LoggingProjectApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2025-09-19 00:13:20,348 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper        - Found @SpringBootConfiguration com.ksa.LoggingProjectApplication for test class com.ksa.LoggingProjectApplicationTests
2025-09-19 00:13:20,608 [main] INFO  o.s.b.d.r.RestartApplicationListener               - Restart disabled due to context in which it is running
2025-09-19 00:13:20,985 [main] INFO  com.ksa.LoggingProjectApplicationTests             - Starting LoggingProjectApplicationTests using Java 17.0.11 with PID 24032 (started by Trainer in C:\Users\Trainer\Desktop\Practice\Logger)
2025-09-19 00:13:20,985 [main] INFO  com.ksa.LoggingProjectApplicationTests             - No active profile set, falling back to 1 default profile: "default"
2025-09-19 00:13:22,238 [main] INFO  com.ksa.LoggingProjectApplicationTests             - Started LoggingProjectApplicationTests in 1.655 seconds (process running for 3.036)
